Product_Category,Supplier_Region,Shipping_Mode,Warehouse_Type,Order_Quantity,Distance_km,Supplier_Lead_Time_days,Transportation_Cost,Inventory_Level,Demand_Forecast,Supplier_Reliability_Score,Historical_Delay_Rate,Delivery_Time_days,Delivery_Status
Automotive Parts,East Asia,Rail,Hybrid,494.0,8084.8,18.0,9774.26,463.0,522.0,88.1,0.053,43.4,Delayed
Industrial Equipment,East Asia,Sea,Cross-Dock,83.0,9611.4,26.0,1138.39,63.0,64.0,88.0,0.069,77.0,Severely Delayed
Pharmaceuticals,Southeast Asia,Air,Manual,181.0,8878.4,10.0,14505.72,159.0,160.0,67.8,0.084,20.0,On Time
Perishable Food,Europe,Rail,Manual,1013.0,6475.6,9.0,15328.77,1395.0,1112.0,78.7,0.104,39.8,Severely Delayed
Perishable Food,North America,Air,Automated,1686.0,3402.8,1.0,48304.52,1321.0,2057.0,84.5,0.046,1.0,Early
Electronics,South Asia,Air,Hybrid,392.0,6971.2,8.0,22329.48,274.0,409.0,67.7,0.193,17.4,On Time
Apparel,Southeast Asia,Sea,Hybrid,1282.0,8908.4,22.0,12637.64,1147.0,1397.0,88.7,0.065,62.1,Severely Delayed
Perishable Food,Europe,Air,Manual,677.0,5283.4,3.0,33175.27,664.0,713.0,90.2,0.092,5.3,Early
Perishable Food,Europe,Air,Manual,937.0,5984.6,6.0,44679.48,1234.0,1015.0,80.4,0.092,11.4,On Time
Pharmaceuticals,North America,Road,Manual,91.0,2048.6,4.0,,31.0,76.0,84.0,0.062,10.0,Early
Automotive Parts,Latin America,Sea,Hybrid,525.0,5848.9,17.0,3668.95,347.0,641.0,81.4,0.042,39.6,On Time
Apparel,Europe,Road,Automated,588.0,4981.3,6.0,9161.25,336.0,587.0,95.8,0.01,21.0,On Time
Electronics,South Asia,Road,Manual,411.0,8306.5,16.0,10350.42,158.0,490.0,66.1,0.236,50.7,Delayed
Electronics,Latin America,Sea,Automated,976.0,8368.0,19.0,8579.52,1126.0,1095.0,76.7,0.143,55.0,Delayed
Electronics,Southeast Asia,Sea,Hybrid,336.0,9229.4,19.0,3627.32,227.0,297.0,74.1,0.184,59.0,Delayed
Pharmaceuticals,Europe,Sea,Automated,600.0,6950.3,19.0,4997.71,337.0,519.0,86.8,0.074,45.9,Delayed
Automotive Parts,Europe,Road,Cross-Dock,203.0,6804.3,5.0,4468.63,258.0,259.0,79.9,0.089,28.3,On Time
Industrial Equipment,South Asia,Sea,Manual,40.0,5976.5,25.0,495.22,47.0,43.0,71.6,0.25,58.6,Delayed
Furniture,North America,Road,Manual,63.0,3547.2,8.0,801.15,68.0,68.0,83.8,0.093,19.5,On Time
Perishable Food,East Asia,Rail,Manual,325.0,9935.2,21.0,7282.65,248.0,259.0,89.6,0.097,68.5,Severely Delayed
Electronics,North America,Rail,Manual,393.0,4886.4,9.0,4219.73,347.0,481.0,84.2,0.071,21.4,On Time
Perishable Food,South Asia,Air,Manual,1407.0,6751.6,9.0,75101.61,2059.0,1938.0,81.0,0.128,16.3,On Time
Apparel,South Asia,Sea,Manual,2247.0,8149.0,21.0,23644.53,1645.0,2601.0,71.7,0.139,56.9,Delayed
Automotive Parts,Latin America,Road,Automated,361.0,8603.8,18.0,10643.95,455.0,378.0,60.5,0.202,55.6,Delayed
Perishable Food,East Asia,Air,Manual,2530.0,8299.2,16.0,201082.24,1698.0,3977.0,78.0,0.082,28.5,On Time
Apparel,Southeast Asia,Sea,Hybrid,255.0,9483.4,22.0,2816.32,166.0,225.0,68.4,0.151,66.3,Severely Delayed
Apparel,South Asia,Rail,Automated,369.0,9651.5,16.0,7747.09,395.0,401.0,76.6,0.18,50.2,Delayed
Electronics,East Asia,Sea,Hybrid,313.0,9948.0,22.0,3553.69,351.0,348.0,74.6,0.108,66.5,Severely Delayed
Industrial Equipment,East Asia,Sea,Cross-Dock,30.0,8332.0,21.0,547.23,8.0,24.0,78.9,0.19,65.2,Severely Delayed
Electronics,South Asia,Road,Hybrid,426.0,7805.9,13.0,11197.15,351.0,426.0,75.6,0.153,42.5,Delayed
Electronics,North America,Air,Automated,114.0,3676.0,1.0,3634.69,126.0,138.0,82.4,0.109,1.0,Early
Electronics,South Asia,Road,Manual,368.0,10072.6,16.0,13199.03,250.0,446.0,81.9,0.152,58.2,Severely Delayed
Automotive Parts,Europe,Sea,Hybrid,389.0,7368.3,18.0,3600.44,325.0,320.0,88.8,0.062,46.1,Delayed
Pharmaceuticals,North America,Road,Manual,315.0,2911.8,11.0,3215.74,100.0,304.0,90.1,0.084,19.9,On Time
Furniture,East Asia,Air,Automated,299.0,11679.7,17.0,30121.71,424.0,345.0,72.5,0.153,34.0,Delayed
Apparel,South Asia,Road,Manual,377.0,8204.9,12.0,10275.23,293.0,320.0,70.4,0.168,45.0,Delayed
Electronics,East Asia,Sea,Manual,1123.0,11099.5,22.0,12004.92,858.0,1003.0,79.9,0.078,73.6,Severely Delayed
Automotive Parts,East Asia,Sea,Automated,806.0,10260.8,22.0,9770.15,887.0,881.0,74.2,0.174,67.9,Severely Delayed
Electronics,East Asia,Air,Automated,469.0,11224.2,16.0,47418.6,314.0,491.0,86.7,0.06,30.2,On Time
Electronics,Europe,Sea,Hybrid,117.0,7015.5,17.0,1209.77,175.0,159.0,87.7,0.057,43.0,On Time
Pharmaceuticals,Europe,Road,Manual,280.0,6202.4,7.0,5096.28,246.0,312.0,82.3,0.05,27.0,On Time
Electronics,Southeast Asia,Road,Automated,138.0,8398.1,14.0,3610.18,101.0,169.0,73.4,0.129,46.0,Delayed
Electronics,Europe,Road,Cross-Dock,562.0,6364.3,9.0,11264.26,251.0,582.0,87.7,0.038,29.1,On Time
Automotive Parts,North America,Sea,Automated,287.0,3715.1,14.0,1443.16,158.0,257.0,99.0,0.01,26.3,On Time
Perishable Food,South Asia,Road,Automated,2210.0,7303.0,18.0,53236.17,2795.0,2505.0,75.8,0.115,46.2,Delayed
Apparel,East Asia,Road,Automated,1512.0,8962.1,18.0,48715.72,1596.0,1400.0,76.6,0.128,56.1,Severely Delayed
Apparel,Europe,Sea,Automated,1057.0,6287.5,15.0,7374.7,1037.0,990.0,83.4,0.091,38.6,On Time
Furniture,South Asia,Sea,Manual,52.0,7195.3,23.0,651.9,35.0,41.0,71.0,0.156,53.5,Delayed
Electronics,East Asia,Sea,Automated,289.0,6454.4,24.0,2531.62,329.0,220.0,84.9,0.026,50.3,Delayed
Electronics,Latin America,Sea,Cross-Dock,854.0,10422.7,21.0,,278.0,776.0,73.8,0.161,64.8,Severely Delayed
Pharmaceuticals,East Asia,Road,Cross-Dock,1061.0,10095.0,17.0,36245.95,1199.0,1344.0,84.2,0.01,58.9,Severely Delayed
Pharmaceuticals,East Asia,Rail,Manual,163.0,8454.4,22.0,2849.97,118.0,192.0,80.8,0.071,64.2,Severely Delayed
Industrial Equipment,Latin America,Sea,Hybrid,84.0,9736.5,24.0,1105.73,69.0,71.0,62.0,0.122,76.5,Severely Delayed
Apparel,South Asia,Sea,Hybrid,443.0,6541.5,22.0,3857.91,745.0,492.0,76.6,0.165,50.0,Delayed
Electronics,South Asia,Sea,Hybrid,166.0,,28.0,,174.0,168.0,68.7,0.152,57.5,Delayed
Pharmaceuticals,East Asia,Road,Automated,131.0,10140.6,18.0,4542.37,137.0,148.0,84.6,0.122,60.8,Severely Delayed
Furniture,South Asia,Sea,Hybrid,120.0,9054.1,23.0,1564.61,125.0,130.0,66.0,0.204,64.5,Severely Delayed
Electronics,Latin America,Air,Automated,82.0,9243.3,13.0,7413.6,83.0,82.0,71.3,0.188,21.9,On Time
Pharmaceuticals,Europe,Road,Automated,498.0,5592.2,13.0,8793.04,473.0,537.0,91.8,0.042,31.6,On Time
Electronics,North America,Road,Cross-Dock,306.0,3278.4,8.0,3217.9,363.0,335.0,99.0,0.049,13.7,Early
Automotive Parts,South Asia,Sea,Automated,495.0,8300.4,23.0,4936.08,728.0,538.0,70.2,0.132,60.2,Delayed
Automotive Parts,South Asia,Sea,Manual,483.0,7723.9,21.0,4316.59,469.0,427.0,82.1,0.099,54.4,Delayed
Perishable Food,North America,Road,Automated,830.0,4104.5,6.0,10735.1,761.0,931.0,95.6,0.026,19.0,On Time
Industrial Equipment,East Asia,Sea,Cross-Dock,48.0,10172.8,26.0,870.16,46.0,51.0,79.3,0.088,81.0,Severely Delayed
Industrial Equipment,East Asia,Sea,Manual,43.0,10818.1,25.0,798.42,25.0,37.0,81.5,0.135,83.2,Severely Delayed
Electronics,Europe,Road,Automated,719.0,8855.2,8.0,19049.76,832.0,740.0,84.2,0.068,39.2,Delayed
Apparel,Southeast Asia,Road,Hybrid,209.0,6204.0,12.0,,267.0,307.0,71.1,0.132,38.3,Delayed
Pharmaceuticals,Southeast Asia,Air,Automated,395.0,11752.9,11.0,39792.69,379.0,429.0,66.8,0.17,25.3,On Time
Electronics,Southeast Asia,Sea,Automated,616.0,9582.3,20.0,6692.7,659.0,572.0,69.5,0.157,63.1,Severely Delayed
Perishable Food,North America,Air,Hybrid,569.0,5153.7,1.0,26901.16,534.0,678.0,74.3,0.151,4.0,Early
Apparel,Europe,Road,Cross-Dock,476.0,5349.6,6.0,8825.09,149.0,568.0,88.3,0.038,22.4,On Time
Industrial Equipment,Latin America,Road,Hybrid,92.0,9405.8,12.0,3075.67,89.0,85.0,80.6,0.131,47.8,Delayed
Perishable Food,East Asia,Air,Automated,1166.0,9772.5,11.0,93793.28,,1293.0,83.1,0.084,19.6,On Time
Automotive Parts,South Asia,Air,Manual,795.0,8345.1,12.0,63170.93,948.0,788.0,73.9,0.029,22.2,On Time
Perishable Food,East Asia,Air,Hybrid,1673.0,10303.3,10.0,147051.48,266.0,1577.0,78.0,0.151,23.5,On Time
Electronics,Latin America,Sea,Automated,196.0,9366.7,17.0,2327.14,211.0,171.0,83.1,0.079,56.4,Delayed
Automotive Parts,Latin America,Sea,Hybrid,925.0,10033.8,23.0,9473.65,555.0,1018.0,77.9,0.131,67.4,Severely Delayed
Electronics,Southeast Asia,Air,Manual,260.0,8042.3,12.0,20410.62,299.0,301.0,68.1,0.167,22.4,On Time
Electronics,South Asia,Sea,Cross-Dock,113.0,6531.5,23.0,1019.14,61.0,141.0,86.2,0.082,47.4,On Time
Apparel,Latin America,Air,Manual,153.0,9517.9,13.0,14181.76,124.0,159.0,80.9,0.141,25.6,On Time
Furniture,East Asia,Air,Cross-Dock,193.0,8614.5,11.0,15312.3,255.0,273.0,75.4,0.133,21.7,On Time
Apparel,East Asia,Sea,Manual,2401.0,9285.3,26.0,26493.86,880.0,2006.0,86.5,0.026,67.8,Severely Delayed
Electronics,North America,Air,Hybrid,185.0,2592.1,1.0,4806.06,149.0,164.0,88.7,0.057,2.8,Early
Apparel,Southeast Asia,Sea,Automated,133.0,8282.5,25.0,1501.51,114.0,109.0,64.0,0.231,63.4,Delayed
Apparel,Southeast Asia,Sea,Manual,961.0,6829.3,22.0,7094.48,986.0,1263.0,70.3,0.14,51.7,Delayed
Electronics,South Asia,Road,Manual,151.0,7157.3,13.0,3619.18,162.0,162.0,78.3,0.141,40.4,Delayed
Pharmaceuticals,South Asia,Air,Automated,443.0,5792.5,15.0,20194.11,308.0,448.0,77.6,0.091,18.3,Early
Electronics,North America,Road,Manual,314.0,3487.8,4.0,3849.74,280.0,284.0,99.0,0.074,14.2,On Time
Apparel,East Asia,Sea,Automated,351.0,11038.5,21.0,5246.76,168.0,241.0,82.9,0.129,71.0,Severely Delayed
Furniture,Southeast Asia,Road,Cross-Dock,108.0,7320.5,18.0,2682.64,109.0,102.0,64.9,0.382,49.8,Delayed
Furniture,South Asia,Road,Hybrid,319.0,5990.5,17.0,6712.24,181.0,292.0,67.9,0.254,40.7,Delayed
Apparel,East Asia,Road,Hybrid,123.0,10836.6,15.0,4116.31,151.0,160.0,79.1,0.183,66.4,Severely Delayed
Apparel,South Asia,Sea,Manual,1217.0,8383.6,22.0,12110.68,992.0,1240.0,72.0,0.078,56.9,Delayed
Apparel,Europe,Road,Automated,1296.0,6996.0,8.0,30074.51,694.0,1352.0,85.7,0.14,32.7,On Time
Industrial Equipment,Southeast Asia,Sea,Manual,52.0,7513.0,19.0,710.57,,64.0,77.6,0.035,56.5,Severely Delayed
Electronics,East Asia,Sea,Automated,562.0,8423.2,22.0,5652.28,832.0,545.0,90.7,0.111,58.2,Delayed
Electronics,East Asia,Air,Manual,461.0,8933.2,13.0,37600.6,473.0,597.0,84.0,0.083,24.1,On Time
Perishable Food,Latin America,Road,Hybrid,1930.0,8706.3,16.0,52940.26,1133.0,1912.0,60.1,0.25,53.7,Delayed
Electronics,North America,Road,Automated,326.0,2413.0,7.0,2538.13,273.0,256.0,91.9,0.053,13.4,Early
Electronics,South Asia,Air,Automated,107.0,5925.8,10.0,6873.15,68.0,92.0,62.8,0.224,15.2,Early
Electronics,East Asia,Road,Automated,865.0,11639.0,19.0,32814.6,916.0,1004.0,77.7,0.143,72.7,Severely Delayed
Furniture,Latin America,Road,Manual,69.0,9128.6,17.0,2100.07,53.0,55.0,82.1,0.157,56.3,Severely Delayed
Pharmaceuticals,Europe,Sea,Automated,171.0,7935.6,13.0,1909.04,109.0,116.0,75.4,0.124,43.8,Delayed
Furniture,East Asia,Sea,Manual,100.0,11236.8,26.0,1560.61,65.0,106.0,93.3,0.088,79.3,Severely Delayed
Automotive Parts,East Asia,Road,Automated,881.0,8965.7,17.0,26785.86,888.0,971.0,84.7,0.123,53.4,Delayed
Apparel,East Asia,Air,Automated,2162.0,8991.5,12.0,179535.89,3387.0,3073.0,83.5,0.128,19.4,On Time
Industrial Equipment,East Asia,Road,Hybrid,56.0,11152.8,17.0,2373.17,26.0,56.0,73.4,0.105,64.7,Severely Delayed
Furniture,East Asia,Sea,Cross-Dock,96.0,10797.3,26.0,1363.43,87.0,94.0,82.0,0.099,77.3,Severely Delayed
Automotive Parts,East Asia,Sea,Automated,498.0,11188.5,21.0,6106.67,322.0,591.0,78.5,0.144,71.8,Severely Delayed
Furniture,East Asia,Air,Automated,54.0,9476.9,13.0,4733.95,54.0,60.0,76.3,0.162,22.7,On Time
Apparel,South Asia,Road,Automated,967.0,7384.8,14.0,,315.0,944.0,72.7,0.094,41.3,Delayed
Apparel,North America,Sea,Hybrid,973.0,3339.0,12.0,3989.48,1037.0,1423.0,99.0,0.01,23.1,On Time
Perishable Food,North America,Air,Manual,1218.0,3466.3,1.0,35885.73,1026.0,1455.0,94.2,0.106,4.0,Early
Electronics,Southeast Asia,Sea,Manual,117.0,7188.0,19.0,1238.61,80.0,152.0,74.1,0.106,48.2,Delayed
Perishable Food,East Asia,Road,Manual,3164.0,9372.1,22.0,97616.7,2822.0,3191.0,83.7,0.121,63.0,Severely Delayed
Electronics,Southeast Asia,Air,Cross-Dock,577.0,7963.8,4.0,46284.3,458.0,561.0,72.9,0.154,9.9,On Time
Electronics,Southeast Asia,Road,Automated,1081.0,7522.9,16.0,29773.96,1195.0,1106.0,79.7,0.093,45.3,Delayed
Industrial Equipment,Latin America,Sea,Automated,27.0,10053.2,22.0,543.97,29.0,29.0,64.1,0.195,68.6,Severely Delayed
Furniture,East Asia,Air,Manual,61.0,7088.5,13.0,4181.91,67.0,59.0,86.6,0.112,21.1,On Time
Pharmaceuticals,East Asia,Rail,Manual,146.0,10077.0,20.0,2991.8,107.0,137.0,72.3,0.177,71.3,Severely Delayed
Apparel,Europe,Air,Automated,2178.0,5421.6,6.0,105110.47,1770.0,2479.0,85.8,0.063,7.5,Early
Pharmaceuticals,East Asia,Road,Cross-Dock,289.0,8050.2,16.0,6394.62,191.0,328.0,88.1,0.04,46.4,Delayed
Industrial Equipment,East Asia,Rail,Hybrid,74.0,8196.7,18.0,1346.25,82.0,71.0,92.4,0.078,43.4,Delayed
Furniture,East Asia,Sea,Cross-Dock,13.0,10305.1,23.0,417.13,2.0,18.0,68.0,0.149,71.8,Severely Delayed
Pharmaceuticals,North America,Air,Cross-Dock,191.0,2077.7,2.0,4228.89,209.0,212.0,82.4,0.055,3.1,Early
Perishable Food,Southeast Asia,Air,Manual,874.0,8449.0,11.0,71475.61,874.0,807.0,75.6,0.138,21.8,On Time
Apparel,East Asia,Sea,Cross-Dock,836.0,9577.7,21.0,9260.93,559.0,746.0,85.9,0.072,61.5,Delayed
Furniture,Latin America,Sea,Hybrid,413.0,7263.3,20.0,3691.08,137.0,408.0,67.9,0.219,51.3,Delayed
Industrial Equipment,Southeast Asia,,Manual,188.0,8468.9,20.0,2145.27,129.0,198.0,75.4,0.248,63.9,Severely Delayed
Perishable Food,East Asia,Air,Hybrid,834.0,7425.3,11.0,54380.56,1192.0,1033.0,81.8,0.096,20.8,On Time
Perishable Food,South Asia,Air,Cross-Dock,469.0,7143.3,10.0,32017.71,349.0,356.0,73.2,0.16,17.9,On Time
Perishable Food,East Asia,Road,Hybrid,823.0,7360.8,14.0,20940.99,667.0,932.0,81.5,0.16,42.9,Delayed
Perishable Food,Latin America,Air,Hybrid,1080.0,12047.7,5.0,120718.23,640.0,1592.0,71.9,0.131,18.7,On Time
Industrial Equipment,Europe,Road,Automated,112.0,7507.8,8.0,2801.31,81.0,99.0,97.6,0.01,34.3,Delayed
Furniture,Europe,Sea,Hybrid,5.0,6788.4,17.0,300.6,2.0,6.0,86.6,0.065,42.5,On Time
Apparel,Europe,Road,Manual,555.0,5382.4,7.0,7954.07,575.0,655.0,95.5,0.018,23.2,On Time
Apparel,South Asia,Sea,Hybrid,588.0,6842.9,24.0,3725.7,493.0,683.0,73.6,0.222,55.1,Delayed
Perishable Food,Latin America,Road,Hybrid,815.0,8429.0,15.0,21542.27,,886.0,67.7,0.201,49.5,Delayed
Electronics,Latin America,Road,Manual,1232.0,9183.2,11.0,31792.0,929.0,1292.0,70.3,0.189,48.3,Delayed
Pharmaceuticals,Europe,Rail,Automated,230.0,6966.3,8.0,4017.27,326.0,274.0,77.6,0.143,27.7,On Time
Automotive Parts,North America,Sea,Hybrid,423.0,3641.7,9.0,2201.76,549.0,502.0,83.4,0.118,20.6,On Time
Furniture,East Asia,Sea,Automated,380.0,10085.3,25.0,4543.8,288.0,452.0,77.5,0.038,71.0,Severely Delayed
Electronics,East Asia,Road,Automated,932.0,9209.6,18.0,23566.45,752.0,960.0,82.7,0.106,56.5,Severely Delayed
Furniture,East Asia,Road,Automated,282.0,10085.6,17.0,8388.09,404.0,318.0,91.8,0.061,58.1,Severely Delayed
Furniture,North America,Rail,Hybrid,152.0,3098.1,5.0,1101.26,105.0,184.0,87.8,0.031,11.9,Early
Apparel,Southeast Asia,Sea,Automated,483.0,6630.3,21.0,3731.23,169.0,487.0,69.7,0.251,49.5,Delayed
Furniture,Latin America,Air,Manual,57.0,11727.0,11.0,,45.0,57.0,77.0,0.067,26.7,Delayed
Pharmaceuticals,East Asia,Road,Cross-Dock,485.0,10211.4,19.0,17913.57,236.0,444.0,83.1,0.125,64.5,Severely Delayed
Automotive Parts,East Asia,Sea,Manual,1195.0,12588.4,25.0,16443.27,976.0,997.0,89.0,0.05,85.9,Severely Delayed
Electronics,East Asia,Road,Cross-Dock,563.0,9030.2,18.0,15812.38,202.0,480.0,87.8,0.05,53.2,Delayed
Electronics,Latin America,Sea,Manual,149.0,12618.6,23.0,2393.29,160.0,178.0,75.4,0.13,83.0,Severely Delayed
Perishable Food,Europe,Air,Automated,1152.0,6593.1,2.0,67809.01,1307.0,1369.0,90.1,0.039,2.4,Early
Electronics,North America,Sea,Hybrid,,4222.0,11.0,3637.42,864.0,936.0,95.8,0.017,24.4,On Time
Perishable Food,North America,Road,Manual,498.0,3520.7,3.0,6332.77,475.0,398.0,95.4,0.01,13.5,On Time
Automotive Parts,North America,Rail,Cross-Dock,216.0,3603.9,6.0,1718.23,108.0,213.0,95.7,0.01,14.6,On Time
Electronics,East Asia,Air,Automated,535.0,9303.0,17.0,43754.3,406.0,516.0,87.6,0.053,26.1,On Time
Perishable Food,East Asia,Air,Hybrid,1516.0,8657.3,11.0,129163.29,764.0,1205.0,81.6,0.174,22.9,On Time
Industrial Equipment,South Asia,Road,Manual,104.0,8470.4,13.0,2613.26,57.0,116.0,69.1,0.125,46.9,Delayed
Perishable Food,East Asia,Rail,Hybrid,2393.0,9484.8,15.0,46051.5,1968.0,2758.0,82.2,0.101,46.0,Delayed
Perishable Food,North America,Sea,Automated,1003.0,4023.2,14.0,5126.36,876.0,1132.0,87.6,0.07,27.2,On Time
Pharmaceuticals,South Asia,Road,Hybrid,170.0,8371.3,15.0,4700.47,64.0,135.0,68.4,0.26,49.5,Delayed
Electronics,Europe,Sea,Automated,690.0,8154.8,19.0,5920.93,643.0,657.0,,0.025,52.5,Delayed
Electronics,North America,Air,Hybrid,1401.0,3765.3,5.0,46427.07,2341.0,1713.0,89.9,0.032,7.8,Early
Furniture,North America,Sea,Automated,90.0,2548.1,9.0,497.69,63.0,91.0,83.7,0.03,16.9,Early
Perishable Food,Latin America,Air,Manual,1675.0,8292.8,9.0,109069.63,2013.0,1660.0,80.0,0.045,18.9,On Time
Apparel,South Asia,Sea,Hybrid,1729.0,7167.3,25.0,12188.35,1737.0,1968.0,74.7,0.135,55.9,Delayed
Electronics,Europe,Road,Manual,482.0,6514.5,6.0,9989.82,421.0,464.0,94.0,0.01,26.2,On Time
Automotive Parts,East Asia,Air,Hybrid,171.0,11754.5,15.0,15593.26,113.0,192.0,79.8,0.167,34.2,Delayed
Electronics,Europe,Sea,Hybrid,491.0,7829.4,9.0,4162.45,496.0,631.0,91.6,0.03,37.8,Delayed
Furniture,North America,Rail,Automated,183.0,3408.7,7.0,1341.27,174.0,208.0,93.8,0.082,13.7,Early
Perishable Food,East Asia,Road,Hybrid,854.0,13655.5,15.0,36410.93,1043.0,1218.0,82.6,0.111,76.8,Severely Delayed
Pharmaceuticals,East Asia,Road,Manual,209.0,8903.5,20.0,6290.85,119.0,136.0,78.2,0.071,56.2,Delayed
Apparel,Europe,Road,Hybrid,215.0,6186.8,7.0,4173.52,182.0,221.0,90.4,0.025,31.4,Delayed
Electronics,Europe,Sea,Automated,,5221.9,17.0,1523.33,129.0,254.0,91.6,0.072,36.4,On Time
Pharmaceuticals,Europe,Road,Manual,164.0,4675.8,9.0,,119.0,214.0,80.8,0.174,26.5,On Time
Furniture,South Asia,Road,Hybrid,65.0,5670.6,13.0,1200.33,15.0,61.0,88.5,0.08,34.0,On Time
Electronics,Europe,Road,Cross-Dock,361.0,7685.8,10.0,8971.88,240.0,342.0,97.8,0.01,34.1,On Time
Perishable Food,North America,Air,Cross-Dock,2027.0,3967.1,2.0,79395.29,1996.0,2251.0,,0.067,4.5,Early
Perishable Food,East Asia,Air,Hybrid,636.0,7989.1,9.0,52032.88,610.0,703.0,87.1,0.074,18.0,On Time
Apparel,North America,Sea,Automated,1819.0,3562.9,13.0,8050.04,2016.0,2099.0,89.9,0.01,24.2,On Time
Pharmaceuticals,North America,Sea,Manual,352.0,4008.1,11.0,1707.71,338.0,370.0,86.2,0.083,36.7,Delayed
Electronics,Southeast Asia,Air,Automated,1704.0,5198.7,11.0,75148.05,1045.0,1702.0,81.7,0.112,11.4,Early
Perishable Food,South Asia,Air,Hybrid,1689.0,9496.8,12.0,152627.24,1664.0,1451.0,69.1,0.196,25.4,On Time
Electronics,South Asia,Sea,Automated,100.0,8564.1,25.0,1269.2,60.0,126.0,76.2,0.112,63.4,Delayed
Perishable Food,Latin America,Sea,Cross-Dock,2420.0,10083.9,22.0,28881.23,1137.0,2617.0,68.0,0.162,68.8,Severely Delayed
Apparel,Southeast Asia,Road,Automated,111.0,9974.3,12.0,3079.42,93.0,126.0,71.0,0.17,54.2,Severely Delayed
Perishable Food,East Asia,Air,Automated,221.0,6009.0,12.0,10804.54,,203.0,82.9,0.084,15.0,Early
Perishable Food,Latin America,Road,Hybrid,2027.0,8453.8,12.0,59954.94,2309.0,2247.0,78.3,0.073,44.8,Delayed
Industrial Equipment,East Asia,Air,Automated,259.0,11651.8,16.0,28159.73,368.0,321.0,83.6,0.096,30.1,On Time
Perishable Food,Southeast Asia,Air,Automated,3457.0,8189.6,9.0,258015.23,2631.0,3327.0,76.4,0.13,15.2,On Time
Automotive Parts,East Asia,Air,Manual,547.0,10770.0,14.0,51569.06,608.0,501.0,71.2,0.156,31.0,Delayed
Apparel,South Asia,Road,Cross-Dock,550.0,9076.8,17.0,14948.22,362.0,464.0,72.8,0.137,54.7,Delayed
Apparel,Latin America,Sea,Automated,659.0,9914.5,20.0,7356.41,824.0,816.0,63.5,0.212,64.6,Severely Delayed
Electronics,East Asia,Sea,Manual,376.0,9059.3,28.0,3768.62,98.0,487.0,82.3,0.09,70.2,Severely Delayed
Perishable Food,Southeast Asia,Air,Automated,1130.0,9049.7,9.0,90495.28,1136.0,1327.0,76.0,0.186,16.5,On Time
Furniture,North America,Road,Manual,71.0,2447.3,6.0,775.98,59.0,74.0,89.7,0.057,10.9,Early
Automotive Parts,East Asia,Sea,Manual,455.0,10338.5,25.0,5525.71,650.0,517.0,81.8,0.149,74.3,Severely Delayed
Pharmaceuticals,Latin America,Sea,Hybrid,180.0,9987.4,20.0,2127.82,93.0,176.0,75.0,0.13,63.4,Severely Delayed
Furniture,North America,Road,Manual,65.0,3595.1,1.0,830.73,55.0,66.0,93.4,0.024,10.7,On Time
Electronics,Southeast Asia,Road,Cross-Dock,1046.0,9914.4,13.0,32936.6,429.0,791.0,78.0,0.112,52.0,Delayed
Electronics,Southeast Asia,Sea,Hybrid,566.0,8611.3,17.0,4825.29,570.0,723.0,81.8,0.059,52.7,Delayed
Automotive Parts,East Asia,Air,Hybrid,623.0,9751.3,12.0,57496.96,736.0,709.0,67.5,0.09,26.1,Delayed
Electronics,,Sea,Manual,431.0,12633.3,24.0,7072.35,546.0,592.0,76.0,0.152,85.5,Severely Delayed
Electronics,South Asia,Road,Manual,214.0,5958.6,21.0,4354.43,172.0,246.0,76.6,0.083,44.8,Delayed
Industrial Equipment,North America,Rail,Manual,80.0,4377.0,9.0,877.57,67.0,81.0,90.0,0.091,19.9,On Time
Industrial Equipment,East Asia,Sea,Manual,253.0,11745.2,21.0,3368.93,193.0,204.0,76.8,0.112,83.2,Severely Delayed
Pharmaceuticals,South Asia,Air,Automated,378.0,8295.5,12.0,28233.47,282.0,288.0,76.6,0.138,18.1,On Time
Apparel,Southeast Asia,Air,Automated,639.0,7602.9,11.0,44500.03,669.0,771.0,80.4,0.212,16.1,Early
Automotive Parts,East Asia,Rail,Manual,572.0,10086.0,19.0,12219.21,692.0,752.0,77.5,0.102,56.1,Severely Delayed
Apparel,Europe,Road,Automated,543.0,5559.0,8.0,10015.34,581.0,609.0,84.1,0.05,26.5,On Time
Perishable Food,North America,Road,Automated,783.0,3145.9,4.0,7842.18,1528.0,999.0,80.2,0.097,13.9,On Time
Apparel,East Asia,Sea,Manual,1399.0,9724.8,25.0,16439.02,1510.0,1760.0,81.4,0.1,70.2,Severely Delayed
Industrial Equipment,East Asia,Road,Hybrid,87.0,7989.0,18.0,1983.5,105.0,93.0,81.7,0.118,52.3,Delayed
Industrial Equipment,East Asia,Sea,Automated,117.0,9101.0,26.0,1314.23,139.0,139.0,75.6,0.208,67.5,Severely Delayed
Furniture,North America,Road,Hybrid,139.0,2805.7,7.0,1470.27,34.0,162.0,86.9,0.122,14.6,Early
Electronics,East Asia,Rail,Automated,671.0,10616.5,21.0,14653.85,913.0,744.0,81.7,0.053,59.2,Severely Delayed
Perishable Food,Southeast Asia,Air,Cross-Dock,775.0,10613.1,10.0,74550.22,313.0,855.0,81.5,0.063,23.5,On Time
Apparel,Southeast Asia,Sea,Manual,585.0,11442.7,21.0,7349.77,602.0,612.0,73.7,0.171,73.8,Severely Delayed
Industrial Equipment,,Road,Manual,238.0,7732.7,19.0,5326.64,286.0,292.0,76.6,0.119,52.6,Delayed
